Club	Last Name	First Name	Position	Base Salary	Guaranteed Compensation
SEA	Hahnemann	Marcus	D	65000	65000
COL	Hairston	Marlon	M	70000	93000
TOR	Hall	Jeremy	D	105000	115000
HOU	Hall	Tally	D	200000	213500
DC	Hamid	Bill	D	100000	114750
TOR	Hamilton	Jordan	F	60000	72500
SJ	Harden	Ty	D	68250	71665
POR	Harrington	Michael	M	125000	125000
SJ	Harris	Atiba	M	181500	189775
VAN	Harvey	Jordan	D	123750	123750
DAL	Hedges	Matt	D	120000	120000
TOR	Henry	Doneil	D	75000	87083
NY	Henry	Thierry	F	3750000	4350000
PHI	Hernandez	Cristhian	M	72500	74375
SJ	Hernandez	Jason	D	210000	213333
DAL	Hernandez	Moises	D	48825	50450
CLB	Higuain	Federico	M	580000	744000
COL	Hill	Kamani	M	48825	48825
LA	Hoffman	Chandler	F	48500	48500
DAL	Hollingshead	Ryan	M	48500	48500
PHI	Hoppenot	Antoine	F	54450	54450
HOU	Horst	David	D	70000	72750
VAN	Hurtado	Erik	F	51150	86150
CHV	Hurtado Jhon	Kennedy	D	210000	210000
LA	Husidic	Baggio	M	90000	90000
CHI	Ianni	Patrick	D	150000	150000
NE	Imbongo	Dimitry	F	112500	122375
DC	Inkoom	Samuel	D	84000	103875
COL	Irwin	Clint	D	75000	87000
LA	Ishizaki	Stefan	M	200000	213000
NE	Jackson	Larry	D	36504	36504
MTL	Jackson-Hamel	Anthony	F	36504	36504
SJ	Jahn	Adam	F	48500	48500
RSL	Jaime	Sebastian	F	216000	216000
LA	Jamieson	Bradford	F	36500	36500
CHV	Jean-Baptiste	Andrew	D	80000	95000
DC	Jeffrey	Jared	M	65000	71200
POR	Jewsbury	Jack	D	115000	132500
CLB	Jimenez	Hector	M	75000	75000
DAL	John	George	D	300000	326666
DC	Johnson	Eddie	F	505000	613333
HOU	Johnson	Jason	F	80000	121000
CHI	Johnson	Sean	D	250000	253000
POR	Johnson	Will	F	300000	325000
NE	Jones	Jermaine	M	3000000	3252500
NE	Joseph	Shalrie	M	248500	294000
CHI	Joya	Benji	M	48504	53504
KC	Juliao	Igor	D	48500	48500
CHI	Jumper	Hunter	D	48500	48500
LA	Juninho	.	M	325000	325000
TOR	Junior	Gilberto	F	1145000	1205000
KC	Kafari	Michael	M	36504	36504
POR	Kah Pa	Modou	D	240000	245000
CHV	Kaji	Akira	D	48504	48504
ORL	Kaka	.	M	6660000	7167500
CHI	Kann	Alec	D	48500	48500
LA	Keane	Robbie	F	4500000	4500000
DAL	Keel	Stephen	D	48825	48825
DC	Kemp	Taylor	D	36504	36504
KC	Kempin	Jonathan	D	70000	77083
CHV	Kennedy	Dan	D	211750	213416
NY	Kimura	Kosuke	D	105000	105000
CHI	Kinney	Steven	D	48825	48825
DC	Kitchen	Perry	D	143500	228950
COL	Klute	Chris	D	75000	80144
COL	Knight	Zat	D	120000	139583
NE	Knighton	Brad	D	78100	80700
SJ	Knutsen	Billy	D	36504	36504
NE	Kobayashi	Daigo	M	125000	136666
VAN	Koffie	Gershon	M	200000	211000
TOR	Konopka	Chris	D	60000	60000
DC	Korb	Chris	D	90000	97298
SJ	Koval	JJ	M	48500	48500
SEA	Kovar	Aaron	M	48500	48700
MTL	Krol	Krzysztof	D	153000	153000
KC	Kronberg	Eric	D	120000	120000
VAN	Laba	Matias	M	300000	300000
COL	LaBrocca	Nick	M	135000	153333
NY	Lade	Connor	D	57750	61963
PHI	Lahoud	Michael	M	99000	102333
CLB	Lampson	Matt	D	48825	48825
CHI	Larentowicz	Jeff	D	245000	251000
MTL	Larrea	Gorka	M	48500	48500
PHI	Le Toux	Sebastian	M	250000	262812
MTL	Lefevre	Wandrille	M	48500	48500
SJ	Lenhart	Steven	F	250000	257500
VAN	Leveron	Johnny	D	80000	91187
VAN	Lewis	Andre	M	48500	53500
HOU	Lisch	Michael	D	36504	36504
CHV	Lochhead	Tony	D	125000	125000
SEA	Long	Aaron	M	36504	36504
HOU	Lopez	Alexander	M	90000	110000
RSL	Lopez	Benjamin	F	48500	51105
KC	Lopez	Mikey	M	85000	157000
TOR	Lovitz	Daniel	M	36504	36504
SEA	Lowe	Damion	D	57500	68500
DAL	Loyd	Zach	M	155000	176666
NY	Lozano	Armando	D	120000	130000
DAL	Luccin	Peter	M	75000	114333
NY	Luyindula	Peguy	F	90000	90000
PHI	MacMath	Zac	D	120000	120000
CHI	Magee	Mike	F	350000	417500
PHI	Maidana	Cristian	F	185000	198750
MTL	Mallace	Calum	M	50848	65848
VAN	Manneh	Kekuta	F	70000	99500
TOR	Mannella	Chris	M	36504	36504
RSL	Mansally	Kenny	F	65000	72000
MTL	Mapp	Justin	M	162250	174750
PHI	Marquez	Richard	D	36504	36504
SEA	Marshall	Chad	D	270000	286666
DC	Martin	Collin	M	55000	69166
COL	Martin	Jose	M	230000	261000
MTL	Martins	Felipe	M	160000	192500
SEA	Martins	Obafemi	F	1620000	1753333
VAN	Mattocks	Darren	F	140000	232000
RSL	Maund	Aaron	D	36500	40250
PHI	Mbolhi	Rais	D	240000	240000
LA	McBean	Jack	F	48500	48500
NE	McCarthy	Stephen	M	101332	132582
NY	McCarty	Dax	M	200000	242500
MTL	McInerney	Jack	F	230000	294166
POR	McKenzie	Rauwshan	D	48825	48825
PHI	McLaughlin	James	M	66000	75000
CHV	McNamara	Thomas	M	48500	60000
NY	Meara	Ryan	D	68250	69500
KC	Medranda	Jimmy	M	48504	48504
LA	Mendiola	Raul	F	36500	36500
CLB	Meram	Justin	F	67452	91827
SJ	Meredith	Bryan	D	48500	48500
MTL	Messoudi	Zakaria	M	36504	36504
LA	Meyer	Tommy	D	50848	64598
VAN	Mezquida	Nicolas	M	65000	65000
NY	Miazga	Matt	D	65000	71250
MTL	Miller	Eric	M	57500	68500
NY	Miller	Roy	M	200000	200000
CHV	Minda	Oswaldo	M	150000	168750
VAN	Mitchell	Carlyle	D	48825	50075
DAL	Moffat	Adam	M	165000	176608
ORL	Molino	Kevin	M	60000	71400
COL	Moor	Drew	D	235000	247000
TOR	Moore	Luke	F	120000	128333
RSL	Morales	Javier	M	300000	300000
VAN	Morales	Pedro	M	1190000	1410900
TOR	Morgan	Ashtone	D	80000	92000
TOR	Morrow	Justin	D	160000	169562
RSL	Mulholland	Luke	M	55000	56250
COL	Mullan	Brian	M	48500	48500
SJ	Muller	Tommy	D	48500	48500
NE	Mullins	Patrick	F	70000	100000
KC	Munoz	Victor	M	36504	36504
COL	Mwanga	Danny	F	130000	171250
KC	Myers	Chance	D	160000	185000
KC	Nagamura	Paulo	M	220000	220000
POR	Nagbe	Darlington	M	250000	260000
MTL	Nakajima-Farran	Issey	M	90000	110000
POR	Nanchoff	Michael	M	48825	48825
COL	Nasco	Joe	D	50000	52693
SEA	Neagle	Lamar	M	110000	110000
DC	Neal	Lewis	M	100000	106440
COL	Neeskens	John	D	42504	42504
NE	Neumann	Stephen	M	65000	86250
NE	Nguyen	Lee	M	175000	193750
PHI	Nogueira	Vincent	M	330000	330000
CHV	Nwiloh	Michael	D	36504	36504
CHI	Nyarko	Patrick	F	265000	284500
CHI	Nyassi	Sanna	M	147000	154625
NY	Obekop	Marius	M	36500	41500
VAN	O'Brien	Andy	D	250000	280000
SEA	Ockford	Jimmy	D	36504	36504
TOR	Oduro	Dominic	F	250000	251666
SEA	Okoli	Sean	F	48500	48750
PHI	Okugo	Amobi	M	145000	228000
NY	Olave	Jamison	D	280000	290000
KC	Olum	Lawrence	M	48825	48825
COL	O'Neill	Shane	M	56250	67750
KC	Opara	Ike	D	97500	103750
DC	Opare	Kofi	D	48500	48500
POR	O'Rourke	Danny	D	55008	55008
TOR	Orr	Bradley	D	75000	75000
TOR	Osorio	Jonathan	M	135000	142599
MTL	Ouimette	Karl	D	48825	48825
VAN	Ousted	David	D	250000	266156
HOU	Ownby	Brian	M	48825	48825
CLB	Paladini	Daniel	M	75000	76666
CHI	Palmer	Lovel	M	82500	87000
KC	Palmer-Brown	Erik	D	48500	49000
